ID_Produto,Nome_Produto,Preco_Produto,Tamanho_Produto,Peso_Produto,Modelo,Status,ID_Subcategoria
,"Long-Sleeve Logo Jersey, S",48.0673,S,,Long-Sleeve Logo Jersey,,21
226,"Long-Sleeve Logo Jersey, S",48.0673,S,,Long-Sleeve Logo Jersey,,21
226,"Long-Sleeve Logo Jersey, S",48.0673,S,,Long-Sleeve Logo Jersey,,21
228,"Long-Sleeve Logo Jersey, S",49.99,S,,Long-Sleeve Logo Jersey,Current,21
229,"Long-Sleeve Logo Jersey, M",48.0673,M,,Long-Sleeve Logo Jersey,,21
230,"Long-Sleeve Logo Jersey, M",48.0673,M,,Long-Sleeve Logo Jersey,,21
231,"Long-Sleeve Logo Jersey, M",49.99,M,,Long-Sleeve Logo Jersey,Current,21
232,"Long-Sleeve Logo Jersey, L",48.0673,L,,Long-Sleeve Logo Jersey,,21
233,"Long-Sleeve Logo Jersey, L",48.0673,L,,Long-Sleeve Logo Jersey,,21
234,"Long-Sleeve Logo Jersey, L",49.99,L,,Long-Sleeve Logo Jersey,Current,21
235,"Long-Sleeve Logo Jersey, XL",48.0673,XL,,Long-Sleeve Logo Jersey,,21
236,"Long-Sleeve Logo Jersey, XL",48.0673,XL,,Long-Sleeve Logo Jersey,,21
237,"Long-Sleeve Logo Jersey, XL",49.99,XL,,Long-Sleeve Logo Jersey,Current,21
391,LL Fork,148.22,,,LL Fork,,10
392,ML Fork,175.49,,,ML Fork,,10
393,HL Fork,229.49,,,HL Fork,,10
397,LL Mountain Handlebars,40.4909,,,LL Mountain Handlebars,,4
398,LL Mountain Handlebars,44.54,,,LL Mountain Handlebars,Current,4
410,LL Mountain Front Wheel,60.745,,,LL Mountain Front Wheel,,17
411,ML Mountain Front Wheel,209.025,,,ML Mountain Front Wheel,,17
412,HL Mountain Front Wheel,300.215,,,HL Mountain Front Wheel,,17
416,Touring Front Wheel,218.01,,,Touring Front Wheel,,17
419,LL Mountain Rear Wheel,87.745,,,LL Mountain Rear Wheel,,17
420,ML Mountain Rear Wheel,236.025,,,ML Mountain Rear Wheel,,17
421,HL Mountain Rear Wheel,327.215,,,HL Mountain Rear Wheel,,17
425,Touring Rear Wheel,245.01,,,Touring Rear Wheel,,17
445,"Men's Sports Shorts, S",59.99,S,,Men's Sports Shorts,,22
447,Cable Lock,25,,,Cable Lock,,34
448,Minipump,19.99,,,Minipump,,36
449,Mountain Pump,24.99,,,Mountain Pump,,36
450,Taillights - Battery-Powered,13.99,,,Taillight,,33
451,Headlights - Dual-Beam,34.99,,,Headlights - Dual-Beam,,33
452,Headlights - Weatherproof,44.99,,,Headlights - Weatherproof,,33
453,"Men's Sports Shorts, M",59.99,M,,Men's Sports Shorts,,22
454,"Men's Sports Shorts, L",59.99,L,,Men's Sports Shorts,,22
455,"Men's Sports Shorts, XL",59.99,XL,,Men's Sports Shorts,,22
474,"Women's Mountain Shorts, S",69.99,S,,Women's Mountain Shorts,Current,22
475,"Women's Mountain Shorts, M",69.99,M,,Women's Mountain Shorts,Current,22
476,"Women's Mountain Shorts, L",69.99,L,,Women's Mountain Shorts,Current,22
477,Water Bottle - 30 oz.,4.99,,,Water Bottle,Current,28
479,Road Bottle Cage,8.99,,,Road Bottle Cage,Current,28
480,Patch Kit/8 Patches,2.29,,,Patch kit,Current,37
488,"Short-Sleeve Classic Jersey, S",53.99,S,,Short-Sleeve Classic Jersey,Current,21
489,"Short-Sleeve Classic Jersey, M",53.99,M,,Short-Sleeve Classic Jersey,Current,21
490,"Short-Sleeve Classic Jersey, L",53.99,L,,Short-Sleeve Classic Jersey,Current,21
491,"Short-Sleeve Classic Jersey, XL",53.99,XL,,Short-Sleeve Classic Jersey,Current,21
515,LL Mountain Seat/Saddle,27.12,,,LL Mountain Seat/Saddle 2,Current,15
530,Touring Tire Tube,4.99,,,Touring Tire Tube,Current,37
537,HL Mountain Tire,35,,,HL Mountain Tire,Current,37
540,HL Road Tire,32.6,,,HL Road Tire,Current,37
548,Touring Pedal,80.99,,,Touring Pedal,Current,13
559,Chain,20.24,,,Chain,Current,7
212,"Sport-100 Helmet, Red",33.6442,,,Sport-100,,31
213,"Sport-100 Helmet, Red",33.6442,,,Sport-100,,31
214,"Sport-100 Helmet, Red",34.99,,,Sport-100,Current,31
215,"Sport-100 Helmet, Black",33.6442,,,Sport-100,,31
216,"Sport-100 Helmet, Black",33.6442,,,Sport-100,,31
