Codigo_Venda,ID_Produto,Quantidade_Venda,Preco_Unitario,Custo_Frete,Data_Venda
SO51900,528,1,4.99,0.1248,2013-01-28 0:00
SO51948,528,1,4.99,0.1248,2013-01-29 0:00
SO52043,528,1,4.99,0.1248,2013-01-31 0:00
SO52045,528,1,4.99,0.1248,2013-01-31 0:00
SO52094,528,1,4.99,0.1248,2013-02-01 0:00
SO52175,528,1,4.99,0.1248,2013-02-03 0:00
SO52190,528,1,4.99,0.1248,2013-02-03 0:00
SO52232,528,1,4.99,0.1248,2013-02-04 0:00
SO52234,528,1,4.99,0.1248,2013-02-04 0:00
SO52245,528,1,4.99,0.1248,2013-02-04 0:00
SO52301,528,1,4.99,0.1248,2013-02-05 0:00
SO52314,528,1,4.99,0.1248,2013-02-05 0:00
SO52342,528,1,4.99,0.1248,2013-02-06 0:00
SO52387,528,1,4.99,0.1248,2013-02-07 0:00
SO52499,528,1,4.99,0.1248,2013-02-09 0:00
SO52500,528,1,4.99,0.1248,2013-02-09 0:00
SO52545,528,1,4.99,0.1248,2013-02-10 0:00
SO52593,528,1,4.99,0.1248,2013-02-11 0:00
SO52627,528,1,4.99,0.1248,2013-02-12 0:00
SO52637,528,1,4.99,0.1248,2013-02-12 0:00
SO52696,528,1,4.99,0.1248,2013-02-13 0:00
SO52746,528,1,4.99,0.1248,2013-02-14 0:00
SO52865,528,1,4.99,0.1248,2013-02-16 0:00
SO52916,528,1,4.99,0.1248,2013-02-17 0:00
SO52940,528,1,4.99,0.1248,2013-02-18 0:00
SO53035,528,1,4.99,0.1248,2013-02-20 0:00
SO53103,528,1,4.99,0.1248,2013-02-21 0:00
SO53154,528,1,4.99,0.1248,2013-02-22 0:00
SO53215,528,1,4.99,0.1248,2013-02-23 0:00
SO53312,528,1,4.99,0.1248,2013-02-25 0:00
SO53425,528,1,4.99,0.1248,2013-02-27 0:00
SO53887,528,1,4.99,0.1248,2013-03-05 0:00
SO53896,528,1,4.99,0.1248,2013-03-05 0:00
SO53947,528,1,4.99,0.1248,2013-03-06 0:00
SO53959,528,1,4.99,0.1248,2013-03-06 0:00
SO54003,528,1,4.99,0.1248,2013-03-07 0:00
SO54064,528,1,4.99,0.1248,2013-03-08 0:00
SO54065,528,1,4.99,0.1248,2013-03-08 0:00
SO54129,528,1,4.99,0.1248,2013-03-09 0:00
SO54284,528,1,4.99,0.1248,2013-03-12 0:00
SO54495,528,1,4.99,0.1248,2013-03-16 0:00
SO54499,528,1,4.99,0.1248,2013-03-16 0:00
SO54615,528,1,4.99,0.1248,2013-03-18 0:00
SO54694,528,1,4.99,0.1248,2013-03-19 0:00
SO54727,528,1,4.99,0.1248,2013-03-20 0:00
SO54740,528,1,4.99,0.1248,2013-03-20 0:00
SO54741,528,1,4.99,0.1248,2013-03-20 0:00
SO54788,528,1,4.99,0.1248,2013-03-21 0:00
SO54848,528,1,4.99,0.1248,2013-03-22 0:00
SO54907,528,1,4.99,0.1248,2013-03-23 0:00
SO55058,528,1,4.99,0.1248,2013-03-26 0:00
SO55108,528,1,4.99,0.1248,2013-03-27 0:00
SO55161,528,1,4.99,0.1248,2013-03-28 0:00
SO55352,528,1,4.99,0.1248,2013-03-30 0:00
SO55578,528,1,4.99,0.1248,2013-04-03 0:00
SO55635,528,1,4.99,0.1248,2013-04-04 0:00
SO55767,528,1,4.99,0.1248,2013-04-06 0:00
SO55770,528,1,4.99,0.1248,2013-04-06 0:00
SO55782,528,1,4.99,0.1248,2013-04-06 0:00
SO55786,528,1,4.99,0.1248,2013-04-06 0:00
SO55892,528,1,4.99,0.1248,2013-04-08 0:00
SO55943,528,1,4.99,0.1248,2013-04-09 0:00
SO55948,528,1,4.99,0.1248,2013-04-09 0:00
SO55985,528,1,4.99,0.1248,2013-04-10 0:00
SO56050,528,1,4.99,0.1248,2013-04-11 0:00
SO56076,528,1,4.99,0.1248,2013-04-12 0:00
SO56089,528,1,4.99,0.1248,2013-04-12 0:00
SO56167,528,1,4.99,0.1248,2013-04-13 0:00
SO56205,528,1,4.99,0.1248,2013-04-14 0:00
SO56247,528,1,4.99,0.1248,2013-04-15 0:00
SO56354,528,1,4.99,0.1248,2013-04-17 0:00
SO56458,528,1,4.99,0.1248,2013-04-19 0:00
SO56565,528,1,4.99,0.1248,2013-04-21 0:00
SO56624,528,1,4.99,0.1248,2013-04-22 0:00
SO56634,528,1,4.99,0.1248,2013-04-22 0:00
SO56656,528,1,4.99,0.1248,2013-04-23 0:00
SO56660,528,1,4.99,0.1248,2013-04-23 0:00
SO56812,528,1,4.99,0.1248,2013-04-26 0:00
SO56818,528,1,4.99,0.1248,2013-04-26 0:00
SO56888,528,1,4.99,0.1248,2013-04-27 0:00
SO56889,528,1,4.99,0.1248,2013-04-27 0:00
SO56928,528,1,4.99,0.1248,2013-04-28 0:00
SO56929,528,1,4.99,0.1248,2013-04-28 0:00
SO56981,528,1,4.99,0.1248,2013-04-29 0:00
SO56983,528,1,4.99,0.1248,2013-04-29 0:00
SO57215,528,1,4.99,0.1248,2013-04-30 0:00
SO57273,528,1,4.99,0.1248,2013-05-01 0:00
SO57341,528,1,4.99,0.1248,2013-05-02 0:00
SO57399,528,1,4.99,0.1248,2013-05-03 0:00
SO57406,528,1,4.99,0.1248,2013-05-03 0:00
SO57441,528,1,4.99,0.1248,2013-05-04 0:00
SO57450,528,1,4.99,0.1248,2013-05-04 0:00
SO57566,528,1,4.99,0.1248,2013-05-06 0:00
SO57612,528,1,4.99,0.1248,2013-05-07 0:00
SO57621,528,1,4.99,0.1248,2013-05-07 0:00
SO57710,528,1,4.99,0.1248,2013-05-09 0:00
SO57716,528,1,4.99,0.1248,2013-05-09 0:00
SO57823,528,1,4.99,0.1248,2013-05-11 0:00
SO57872,528,1,4.99,0.1248,2013-05-12 0:00
SO57922,528,1,4.99,0.1248,2013-05-13 0:00
SO57973,528,1,4.99,0.1248,2013-05-14 0:00
SO57992,528,1,4.99,0.1248,2013-05-14 0:00
SO57995,528,1,4.99,0.1248,2013-05-14 0:00
SO58090,528,1,4.99,0.1248,2013-05-16 0:00
SO58157,528,1,4.99,0.1248,2013-05-17 0:00
SO58171,528,1,4.99,0.1248,2013-05-17 0:00
SO58220,528,1,4.99,0.1248,2013-05-18 0:00
SO58268,528,1,4.99,0.1248,2013-05-19 0:00
SO58618,528,1,4.99,0.1248,2013-05-25 0:00
SO58657,528,1,4.99,0.1248,2013-05-26 0:00
SO58664,528,1,4.99,0.1248,2013-05-26 0:00
SO58666,9999,1,4.99,0.1248,2013-05-26 0:00
SO58736,528,1,4.99,0.1248,2013-05-27 0:00
SO58738,528,1,4.99,0.1248,2013-05-27 0:00
SO58792,528,1,4.99,0.1248,2013-05-28 0:00
SO58796,528,1,4.99,0.1248,2013-05-28 0:00
SO58798,528,1,4.99,0.1248,2013-05-28 0:00
SO58856,528,1,4.99,0.1248,2013-05-29 0:00
SO59181,528,1,4.99,0.1248,2013-05-31 0:00
SO59182,528,1,4.99,0.1248,2013-05-31 0:00
SO59305,528,1,4.99,0.1248,2013-06-02 0:00
SO59447,528,1,4.99,0.1248,2013-06-04 0:00
SO59519,528,1,4.99,0.1248,2013-06-05 0:00
SO59527,528,1,4.99,0.1248,2013-06-05 0:00
SO59603,528,1,4.99,0.1248,2013-06-06 0:00
SO59620,528,1,4.99,0.1248,2013-06-06 0:00
SO59662,528,1,4.99,0.1248,2013-06-07 0:00
SO59781,528,1,4.99,0.1248,2013-06-09 0:00
SO59783,528,1,4.99,0.1248,2013-06-09 0:00
SO59935,528,1,4.99,0.1248,2013-06-11 0:00
SO59949,528,1,4.99,0.1248,2013-06-11 0:00
SO60006,528,1,4.99,0.1248,2013-06-12 0:00
SO60015,528,1,4.99,0.1248,2013-06-12 0:00
SO60072,528,1,4.99,0.1248,2013-06-13 0:00
SO60073,528,1,4.99,0.1248,2013-06-13 0:00
SO60213,528,1,4.99,0.1248,2013-06-15 0:00
SO60347,528,1,4.99,0.1248,2013-06-17 0:00
SO60483,528,1,4.99,0.1248,2013-06-19 0:00
SO60661,528,1,4.99,0.1248,2013-06-22 0:00
SO60793,528,1,4.99,0.1248,2013-06-24 0:00
SO60904,528,1,4.99,0.1248,2013-06-26 0:00
SO60905,528,1,4.99,0.1248,2013-06-26 0:00
SO60912,528,1,4.99,0.1248,2013-06-26 0:00
SO60986,528,1,4.99,0.1248,2013-06-27 0:00
SO60988,528,1,4.99,0.1248,2013-06-27 0:00
SO60998,528,1,4.99,0.1248,2013-06-27 0:00
SO61000,528,1,4.99,0.1248,2013-06-27 0:00
SO61132,528,1,4.99,0.1248,2013-06-29 0:00
SO61147,528,1,4.99,0.1248,2013-06-29 0:00
SO61338,528,1,4.99,0.1248,2013-07-01 0:00
SO61457,528,1,4.99,0.1248,2013-07-03 0:00
SO61500,528,1,4.99,0.1248,2013-07-04 0:00
SO61576,528,1,4.99,0.1248,2013-07-05 0:00
SO61704,528,1,4.99,0.1248,2013-07-07 0:00
SO61755,528,1,4.99,0.1248,2013-07-08 0:00
SO61813,528,1,4.99,0.1248,2013-07-09 0:00
SO61814,528,1,4.99,0.1248,2013-07-09 0:00
SO61872,528,1,4.99,0.1248,2013-07-10 0:00
SO61997,528,1,4.99,0.1248,2013-07-12 0:00
SO62050,528,1,4.99,0.1248,2013-07-13 0:00
SO62196,528,1,4.99,0.1248,2013-07-15 0:00
SO62260,528,1,4.99,0.1248,2013-07-16 0:00
SO62327,528,1,4.99,0.1248,2013-07-17 0:00
SO62358,528,1,4.99,0.1248,2013-07-18 0:00
SO62363,528,1,4.99,0.1248,2013-07-18 0:00
SO62423,528,1,4.99,0.1248,2013-07-19 0:00
SO62424,528,1,4.99,0.1248,2013-07-19 0:00
SO62436,528,1,4.99,0.1248,2013-07-19 0:00
SO62438,528,1,4.99,0.1248,2013-07-19 0:00
SO62601,528,1,4.99,0.1248,2013-07-22 0:00
SO62603,528,1,4.99,0.1248,2013-07-22 0:00
SO62718,528,1,4.99,0.1248,2013-07-24 0:00
SO62897,528,1,4.99,0.1248,2013-07-27 0:00
SO62903,528,1,4.99,0.1248,2013-07-27 0:00
SO62915,528,1,4.99,0.1248,2013-07-27 0:00
SO63025,528,1,4.99,0.1248,2013-07-29 0:00
SO63026,528,1,4.99,0.1248,2013-07-29 0:00
SO63316,528,1,4.99,0.1248,2013-07-31 0:00
SO63317,528,1,4.99,0.1248,2013-07-31 0:00
SO63388,528,1,4.99,0.1248,2013-08-01 0:00
SO63453,528,1,4.99,0.1248,2013-08-02 0:00
SO63467,528,1,4.99,0.1248,2013-08-02 0:00
SO63571,528,1,4.99,0.1248,2013-08-04 0:00
SO63578,528,1,4.99,0.1248,2013-08-04 0:00
SO63580,528,1,4.99,0.1248,2013-08-04 0:00
SO63644,528,1,4.99,0.1248,2013-08-05 0:00
SO63662,528,1,4.99,0.1248,2013-08-05 0:00
SO63663,528,1,4.99,0.1248,2013-08-05 0:00
SO64080,528,1,4.99,0.1248,2013-08-12 0:00
