Codigo_Venda,ID_Produto,ID_Fornecedor,Quantidade_Venda,Preco_Unitario,Custo_Frete
SO51900,528,1,1,4.99,0.1248
SO51948,528,2,1,4.99,0.1248
SO52043,528,3,1,4.99,0.1248
SO52045,528,4,1,4.99,0.1248
SO52094,528,5,1,4.99,0.1248
SO52175,528,6,1,4.99,0.1248
SO52190,528,7,1,4.99,0.1248
SO52232,528,8,1,4.99,0.1248
SO52234,528,9,1,4.99,0.1248
SO52245,528,10,1,4.99,0.1248
SO52301,528,11,1,4.99,0.1248
SO52314,528,12,1,4.99,0.1248
SO52342,528,13,1,4.99,0.1248
SO52387,528,14,1,4.99,0.1248
SO52499,528,15,1,4.99,0.1248
SO52500,528,16,1,4.99,0.1248
SO52545,528,17,1,4.99,0.1248
SO52593,528,18,1,4.99,0.1248
SO52627,528,19,1,4.99,0.1248
SO52637,528,20,1,4.99,0.1248
SO52696,528,21,1,4.99,0.1248
SO52746,528,22,1,4.99,0.1248
SO52865,528,23,1,4.99,0.1248
SO52916,528,24,1,4.99,0.1248
SO52940,528,25,1,4.99,0.1248
SO53035,528,26,1,4.99,0.1248
SO53103,528,27,1,4.99,0.1248
SO53154,528,28,1,4.99,0.1248
SO53215,528,29,1,4.99,0.1248
SO53312,528,30,1,4.99,0.1248
SO53425,528,31,1,4.99,0.1248
SO53887,528,32,1,4.99,0.1248
SO53896,528,33,1,4.99,0.1248
SO53947,528,34,1,4.99,0.1248
SO53959,528,35,1,4.99,0.1248
SO54003,528,1,1,4.99,0.1248
SO54064,528,2,1,4.99,0.1248
SO54065,528,3,1,4.99,0.1248
SO54129,528,4,1,4.99,0.1248
SO54284,528,5,1,4.99,0.1248
SO54495,528,6,1,4.99,0.1248
SO54499,528,7,1,4.99,0.1248
SO54615,528,8,1,4.99,0.1248
SO54694,528,9,1,4.99,0.1248
SO54727,528,10,1,4.99,0.1248
SO54740,528,11,1,4.99,0.1248
SO54741,528,12,1,4.99,0.1248
SO54788,528,13,1,4.99,0.1248
SO54848,528,14,1,4.99,0.1248
SO54907,528,15,1,4.99,0.1248
SO55058,528,16,1,4.99,0.1248
SO55108,528,17,1,4.99,0.1248
SO55161,528,18,1,4.99,0.1248
SO55352,528,19,1,4.99,0.1248
SO55578,528,20,1,4.99,0.1248
SO55635,528,21,1,4.99,0.1248
SO55767,528,22,1,4.99,0.1248
SO55770,528,23,1,4.99,0.1248
SO55782,528,24,1,4.99,0.1248
SO55786,528,25,1,4.99,0.1248
SO55892,528,26,1,4.99,0.1248
SO55943,528,27,1,4.99,0.1248
SO55948,528,28,1,4.99,0.1248
SO55985,528,29,1,4.99,0.1248
SO56050,528,10,1,4.99,0.1248
SO56076,528,11,1,4.99,0.1248
SO56089,528,12,1,4.99,0.1248
SO56167,528,13,1,4.99,0.1248
SO56205,528,14,1,4.99,0.1248
SO56247,528,15,1,4.99,0.1248
SO56354,528,16,1,4.99,0.1248
SO56458,528,17,1,4.99,0.1248
SO56565,528,18,1,4.99,0.1248
SO56624,528,19,1,4.99,0.1248
SO56634,528,20,1,4.99,0.1248
SO56656,528,21,1,4.99,0.1248
SO56660,528,22,1,4.99,0.1248
SO56812,528,23,1,4.99,0.1248
SO56818,528,24,1,4.99,0.1248
SO56888,528,25,1,4.99,0.1248
SO56889,528,26,1,4.99,0.1248
SO56928,528,27,1,4.99,0.1248
SO56929,528,28,1,4.99,0.1248
SO56981,528,29,1,4.99,0.1248
SO56983,528,17,1,4.99,0.1248
SO57215,528,18,1,4.99,0.1248
SO57273,528,19,1,4.99,0.1248
SO57341,528,20,1,4.99,0.1248
SO57399,528,21,1,4.99,0.1248
SO57406,528,22,1,4.99,0.1248
SO57441,528,23,1,4.99,0.1248
SO57450,528,24,1,4.99,0.1248
SO57566,528,25,1,4.99,0.1248
SO57612,528,26,1,4.99,0.1248
SO57621,528,27,1,4.99,0.1248
SO57710,528,28,1,4.99,0.1248
SO57716,528,29,1,4.99,0.1248
SO57823,528,1,1,4.99,0.1248
